 INFO  Accepting connections at http://localhost:3000
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 GET /static/media/NG.fc2aad0fd10db79a595e.mp3
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:07:22 AM 217.119.31.24 GET /static/media/dead.e5acdd87a86976066126.png
 HTTP  12/19/2022 11:07:22 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:22 AM 217.119.31.24 GET /static/media/NG.fc2aad0fd10db79a595e.mp3
 HTTP  12/19/2022 11:07:22 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:07:22 AM 217.119.31.24 GET /favicon.ico
 HTTP  12/19/2022 11:07:22 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:22 AM 217.119.31.24 GET /static/media/NG.fc2aad0fd10db79a595e.mp3
 HTTP  12/19/2022 11:07:22 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:07:25 AM 217.119.31.24 GET /static/media/openDead.62a5c99ee3644500efc8.png
 HTTP  12/19/2022 11:07:25 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 GET /static/media/3.d8a7e3b68747fe153f7c.png
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 GET /static/media/2.1d54f74f9b9fe71d0b6f.png
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 GET /static/media/fon.4090f96ea11aa17bbe26.png
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 GET /static/media/5.6f4d1e07eeb4c7014b92.png
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 GET /static/media/4.41f62049b4ca39e708bd.png
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 GET /static/media/1.8dfb63ae9d11d1e313c9.png
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:29 AM 217.119.31.24 Returned 304 in 0 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/leftYellow.a33e498e27efabbddfca.png
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/rightYellow.e19bfe175df1b143a7e8.png
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/bgGM.6daa5c411c9b1c984f57.png
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 304 in 0 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 304 in 0 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/succsess.4fcbda4c9e6bafa8f6fd.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/jump.98e106371414bfb47ba8.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 0 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 0 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/succsess.4fcbda4c9e6bafa8f6fd.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/jump.98e106371414bfb47ba8.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/jump.98e106371414bfb47ba8.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/jump.98e106371414bfb47ba8.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/succsess.4fcbda4c9e6bafa8f6fd.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 6 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/jump.98e106371414bfb47ba8.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/succsess.4fcbda4c9e6bafa8f6fd.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 0 ms
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 GET /static/media/succsess.4fcbda4c9e6bafa8f6fd.mp3
 HTTP  12/19/2022 11:07:30 AM 217.119.31.24 Returned 206 in 0 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 1 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/js/main.179b62ee.js
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 0 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/css/main.1f76cc62.css
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 1 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/media/rabbitTop.b704a49dc521dd3097cb.png
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 1 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/media/rabbitBottom.8142e2fda7896c86c38b.png
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 1 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/media/boxes.d286d5f5c677b87fa664.png
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 1 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/media/lamp.f549b6fe07f9732d0b09.png
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 0 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/media/gameFon.1c82875db2d0188e6bec.png
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 1 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/media/fon.4ff3d018c6eaecdecd7e.png
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 200 in 0 ms
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 GET /static/media/NG.fc2aad0fd10db79a595e.mp3
 HTTP  12/19/2022 11:18:11 AM 217.119.31.24 Returned 206 in 1 ms
 HTTP  12/19/2022 11:18:12 AM 217.119.31.24 GET /static/media/dead.e5acdd87a86976066126.png
 HTTP  12/19/2022 11:18:12 AM 217.119.31.24 Returned 200 in 1 ms
